id_mhs,list matkul,rekomendasi matkul
13507001,"IF4060-2013, IF4070-2013, IF4071-2013","DK3014-2013, IF4042-2013, IF2112-2013, IF4072-2013, DK3016-2013, KU4012-2013, IF4021-2013"
13508002,"TL2105-2013, IF4020-2013, IF4033-2013, IF4061-2013, IF4073-2013","DK3014-2013, IF2112-2013, IF4071-2013, KU2061-2013, IF4031-2013, AS2005-2013, DK4206-2013, IF4072-2013, DK3016-2013, IF4050-2013, IF4021-2013, IF4070-2013, KU4079-2013, KU4078-2013, IF4040-2013, KU4072-2013, KU2062-2013, IF4043-2013, KU4012-2013, TL4103-2013, TL4002-2013, IF4041-2013, TI3004-2013, BI2001-2013, KU4071-2013, IF4042-2013"
13508008,KU4012-2013,"DK3014-2013, BI2001-2013, IF4071-2013, IF2112-2013, KU2061-2013, IF4042-2013, DK3016-2013"
13508009,"KU4078-2013, KU4172-2013","IF4071-2013, IF4043-2013, KU2061-2013, KU4079-2013, IF4031-2013, AS2005-2013, IF4061-2013"
13508010,"IF4072-2013, IF4021-2013","IF4042-2013, IF2112-2013, DK3016-2013, DK3014-2013, IF4070-2013, IF4061-2013, IF4071-2013"
13508013,"IF4020-2013, IF4021-2013, IF4061-2013, IF4073-2013","DK3014-2013, IF2112-2013, IF4031-2013, KU2061-2013, IF4071-2013, DK4206-2013, IF4072-2013"
13509002,"KU4079-2013, KU4095-2013, KU4184-2013, KU4190-2013","IF4033-2013, AS2005-2013, KU4078-2013, IF4031-2013, IF4071-2013, KU2061-2013, IF4150-2019, IF4043-2019, IF4072-2019, IF4074-2019, IF4043-2013, IF4061-2013, IF4072-2013, IF4041-2019, IF4050-2013, DK3014-2013, IF4031-2019, IF4041-2013, KU4012-2013, IF4070-2013, DK3016-2013, KU2062-2013, IF2112-2013, BI2001-2013, IF4020-2013, KU2063-2013, KU4072-2013, IF4040-2013, IF4073-2013, IF4021-2013, TI3004-2013, KU4182-2013, DK4206-2013"
13509003,"IF4042-2013, IF4061-2013, TL4104-2013","IF4021-2013, DK3016-2013, IF2112-2013, IF4071-2013, DK3014-2013, AS2005-2013, IF4070-2013"
13509004,"KU4012-2013, KU4078-2013","DK3014-2013, BI2001-2013, IF4071-2013, IF4043-2013, KU2061-2013, KU4079-2013, IF4031-2013"
13509009,KR3243-2013,
13509013,"IF4043-2013, KU4012-2013, IF4061-2013, IF4073-2013","IF4050-2013, KU4079-2013, DK3014-2013, AS2005-2013, KU4273-2013, KU4078-2013, IF4071-2013, DK4206-2013, IF4072-2013, KU2061-2013, IF4041-2013, BI2001-2013, IF4040-2013, IF4033-2013, IF4020-2013, IF4031-2013, IF2112-2013, KU2063-2013, IF4042-2013, DK3016-2013, IF4021-2013, KU4072-2013, IF4070-2013, TL4103-2013, KU2062-2013, TL2105-2013, TL4002-2013, KU4095-2013, TI3004-2013, KU4182-2013"
13509014,"IF4071-2013, IF4072-2013, KU4012-2013","DK3014-2013, IF2112-2013, BI2001-2013, IF4070-2013, KU2061-2013, DK3016-2013, IF4050-2013"
