kd_kuliah,th_kur,nama_kuliah,sks,no_kelas,tahun,semester,no_ps_penyelenggara,nama_ps_penyelenggara,sifat
BI2001-2013,2013,Pengetahuan Lingkungan,2,07,2013,1,106,Biologi,W
BI2001-2013,2013,Pengetahuan Lingkungan,2,10,2013,1,106,Biologi,P
DK4117-2013,2013,Komik,3,01,2013,1,174,Desain Komunikasi Visual,P
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,01,2013,1,132,Teknik Elektro,W
EL2142-2013,2013,Sistem Digital & Mikroprosesor,4,01,2013,1,132,Teknik Elektro,W
EL3011-2013,2013,Arsitektur Sistem Komputer,3,01,2013,1,132,Teknik Elektro,P
ET4040-2013,2013,"Ekonomi, Bisnis, Regulasi dan Kebijakan Telekomunikasi",3,01,2013,1,181,Teknik Telekomunikasi,P
FI1101-2013,2013,Fisika Dasar IA,4,14,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,15,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,16,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,17,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,18,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,31,2013,1,102,Fisika,W
IF2110-2013,2013,Algoritma & Struktur Data,4,01,2013,1,135,Teknik Informatika,W
IF2110-2013,2013,Algoritma & Struktur Data,4,02,2013,1,135,Teknik Informatika,W
IF2111-2013,2013,Algoritma dan Struktur Data,3,01,2013,1,135,Teknik Informatika,W
IF2112-2013,2013,Pemrograman Fungsional,1,01,2013,1,135,Teknik Informatika,P
IF2112-2013,2013,Pemrograman Fungsional,1,02,2013,1,135,Teknik Informatika,P
IF2120-2013,2013,Matematika Diskrit,3,01,2013,1,135,Teknik Informatika,W
IF2120-2013,2013,Matematika Diskrit,3,02,2013,1,135,Teknik Informatika,W
IF2121-2013,2013,Logika Informatika,3,01,2013,1,135,Teknik Informatika,W
IF2121-2013,2013,Logika Informatika,3,02,2013,1,135,Teknik Informatika,W
IF2122-2013,2013,Probabilitas & Statistika,3,01,2013,1,135,Teknik Informatika,W
IF2122-2013,2013,Probabilitas & Statistika,3,02,2013,1,135,Teknik Informatika,W
IF2123-2013,2013,Aljabar Geometri,3,01,2013,1,135,Teknik Informatika,W
IF2123-2013,2013,Aljabar Geometri,3,02,2013,1,135,Teknik Informatika,W
IF2130-2013,2013,Organisasi & Arsitektur Komputer,3,01,2013,1,135,Teknik Informatika,W
IF2130-2013,2013,Organisasi & Arsitektur Komputer,3,02,2013,1,135,Teknik Informatika,W
IF2140-2013,2013,Pemodelan Basis Data,3,01,2013,1,135,Teknik Informatika,W
